"Main_gene_name","frequency"
"PDYN",8
"PHGDH",8
"PIEZO2",8
"PKP2",8
"PLG",8
"POLR3B",8
"PPP2CA",8
"PRF1",8
"PRPF8",8
"RAPSN",8
"RPGRIP1L",8
"SIX1",8
"SLC29A3",8
"SLC2A10",8
"SLC4A4",8
"SLURP1",8
"SMAD4",8
"SMAD6",8
"STAG1",8
"TMPRSS3",8
"TONSL",8
"TPM1",8
"TRRAP",8
"TUBA1A",8
"UPB1",8
"VPS13D",8
"WNT1",8
"ZAP70",8
"ZEB1",8
"ZFPM2",8
"ACOX1",7
"ACY1",7
"BAG3",7
"BUB1B",7
"CALM1",7
"CAMK2A",7
"CDK8",7
"CDKN1C",7
"CFAP410",7
"CFB",7
"CHN1",7
"CHRND",7
"COL11A2",7
"COX10",7
"CPLANE1",7
"CRB2",7
"CRYGD",7
"CYP27A1",7
"DDR2",7
"DEPDC5",7
"DLL4",7
"DNM1L",7
"DPAGT1",7
"EIF2B4",7
"EPHB2",7
"ERCC8",7
"F5",7
"FAT4",7
"FBXL4",7
"FGA",7
"FGB",7
"FGF23",7
"FIG4",7
"FLNC",7
"GCM2",7
"GIPC3",7
"GLI3",7
"GP9",7
"GTPBP3",7
"IDH2",7
"IGF1R",7
"IL10RA",7
"IL17RD",7
"IMPDH1",7
"INPP5K",7
"JAK3",7
"KCNJ5",7
"KCNQ4",7
"KISS1R",7
"MCOLN1",7
"MIP",7
"MITF",7
"MSX1",7
"MUSK",7
"MYBPC1",7
"MYH6",7
"MYOT",7
"NIPAL4",7
"NPC2",7
"NPHP3",7
"NTNG2",7
"PAFAH1B1",7
"PDGFRB",7
"PGM3",7
"POLR1D",7
"PPP3CA",7
"PRKAG2",7
"PROP1",7
"PRRT2",7
"PRSS56",7
"PSEN2",7
"RELN",7
"RNASEH2A",7
"RNASEH2C",7
"SASH1",7
"SCN1B",7
"SEC23B",7
"SH3BP2",7
"SLC6A5",7
"SPRY4",7
"SPTB",7
"SRP54",7
"STAR",7
"STS",7
"TG",7
"TMEM127",7
"TMEM216",7
"TPI1",7
"TRNT1",7
"TRPS1",7
"TSPAN12",7
"TTPA",7
"TWIST1",7
"UBA5",7
"ABCG5",6
"ACTN1",6
"AGPS",6
"AHI1",6
"ALG6",6
"ALOXE3",6
"ANKH",6
"ANTXR2",6
"ARL6",6
"ATN1",6
"ATP1A1",6
"ATP6V0A4",6
"BIN1",6
"BRIP1",6
"C1R",6
"CACNA1S",6
"CAMK2B",6
"CDK13",6
"CFP",6
"CHD4",6
"CHST14",6
"CNTNAP1",6
"COL5A1",6
"COLQ",6
"CRX",6
"CTNND2",6
"CTSK",6
"CYP11A1",6
"CYP11B2",6
"DGUOK",6
"DHCR24",6
"DHX30",6
"DONSON",6
"DSP",6
"EED",6
"EPAS1",6
"ERCC5",6
"F13B",6
"FGF8",6
"FOXE3",6
"FREM1",6
"GABRA1",6
"GATA2",6
"GDF1",6
"GIGYF2",6
"GJB3",6
"GJC2",6
"GRM6",6
"GYS2",6
"HBG2",6
"HESX1",6
"HINT1",6
"HK1",6
"HS6ST1",6
"IHH",6
"ITPR1",6
"JPH2",6
"KARS1",6
"KCNB1",6
"KCNE2",6
"KCNJ18",6
"KCNK3",6
"KLHL7",6
"MAP3K7",6
"MSH6",6
"MTHFD1",6
"MYL2",6
"NAGS",6
"NANS",6
"NDUFAF6",6
"NFIX",6
"OPTN",6
"OTX2",6
"PARK7",6
"PCYT1A",6
"PDE3A",6
"PHF6",6
"PIGB",6
"PRDM12",6
"PROK2",6
"PSAP",6
"PURA",6
"RAC1",6
"RAD51C",6
"RAG2",6
"REEP1",6
"RHAG",6
"RHOBTB2",6
"ROBO3",6
"RP1",6
"RPGRIP1",6
"SCN3A",6
"SDHA",6
"SLC13A5",6
"SLC34A3",6
"SLC39A8",6
"SLC5A7",6
"SPOP",6
"SPTLC1",6
"STAMBP",6
"STRA6",6
"TBX22",6
"TET3",6
"TFAP2B",6
"TNNC1",6
"TRPM6",6
"TRPV6",6
"WASHC5",6
"WDR11",6
"WDR35",6
"ZC4H2",6
"AARS1",5
"AARS2",5
"ACO2",5
"ACTB",5
"AGRN",5
"AKR1D1",5
"ALAD",5
"ALG11",5
"ALG12",5
"AQP5",5
"BCKDHB",5
"BMP4",5
"BMPR1B",5
"BSCL2",5
"C7",5
"CACNA1D",5
"CARD11",5
"CCBE1",5
"CCND2",5
"CD46",5
"CDC45",5
"CDH1",5
"CDON",5
"CDT1",5
"CHST3",5
"CIB2",5
"CLCNKB",5
"CLDN14",5
"CNNM2",5
"COL17A1",5
"CRYAA",5
"CRYAB",5
"CYP19A1",5
"CYP4F22",5
"DDX6",5
"DHX37",5
"DPF2",5
"DPYS",5
"DSC2",5
"DSG2",5
"EIF2B3",5
"EXTL3",5
"FAM111A",5
"FGD1",5
"FLCN",5
"FLI1",5
"FLVCR1",5
"GABRA2",5
"GATA1",5
"GDF3",5
"GHRHR",5
"GJA5",5
"GJB4",5
"GMPPA",5
"GNA11",5
"GPAA1",5
"HADHA",5
"HBB",5
"HNF4A",5
"HSF4",5
"HSPB8",5
"IFNGR2",5
"IFT122",5
"IKZF1",5
"IQSEC2",5
"JAGN1",5
"JAK2",5
"KCNA2",5
"KCND3",5
"KCNMA1",5
"KCNV2",5
"KCTD7",5
"KIF7",5
"KRT13",5
"LBR",5
"LITAF",5
"LRP6",5
"LSS",5
"MAB21L2",5
"MAK",5
"MC1R",5
"MED12",5
"MMAB",5
"MMP13",5
"MTRR",5
"MYH14",5
"MYL3",5
"NLRP1",5
"NR2F2",5
"NUP107",5
"OFD1",5
"OPN1MW",5
"ORAI1",5
"ORC1",5
"OSMR",5
"PDE6A",5
"PGAP2",5
"PIGO",5
"PIWIL1",5
"PLCB4",5
"PLOD1",5
"PMPCB",5
"PNP",5
"POU3F4",5
"PPP1CB",5
"PRKCG",5
"PTH1R",5
"ROR2",5
"RPSA",5
"RTN4R",5
"SAR1B",5
"SCNN1A",5
"SFTPC",5
"SLC12A5",5
"SLC17A5",5
"SLC27A4",5
"SLC2A9",5
"SLC38A8",5
"SLC5A1",5
"SLC5A5",5
"SMAD3",5
"SMARCA4",5
"SMS",5
"SNCA",5
"SPTLC2",5
"STXBP2",5
"SYT1",5
"TACR3",5
"TAF1",5
"TBR1",5
"TCIRG1",5
"TELO2",5
"TGDS",5
"TGIF1",5
"TGM6",5
"TIMP3",5
"TLK2",5
"TMEM240",5
"TNFRSF11A",5
"TNXB",5
"TUBA4A",5
"TUBB",5
"TYMP",5
"UGDH",5
"VPS13A",5
"VPS13B",5
"VSX2",5
"WARS2",5
"WDR62",5
"XPA",5
"ZMIZ1",5
"ZMYND10",5
"ABCA3",4
"ABCB7",4
"ABCC2",4
"ABHD5",4
"ADAM10",4
"AGTPBP1",4
"AHCY",4
"AK1",4
"AKR1C2",4
"AKT1",4
"ALX3",4
"ALX4",4
"ANK2",4
"ANO3",4
"ATP6AP1",4
"ATP6V1A",4
"AXIN1",4
"B3GALNT2",4
"BBS7",4
"BRF1",4
"BSND",4
"CA2",4
"CA4",4
"CARMIL2",4
"CASK",4
"CASQ1",4
"CASQ2",4
"CBL",4
"CDIN1",4
"CELSR1",4
"CHCHD10",4
"CHD1",4
"CHMP2B",4
"CHRNG",4
"CNNM4",4
"CNOT3",4
"COL8A2",4
"COPA",4
"COQ4",4
"CRELD1",4
"CSNK2A1",4
"CSNK2B",4
"CTNNA1",4
"CTSF",4
"CYP24A1",4
"CYP2U1",4
"D2HGDH",4
"DAG1",4
"DEAF1",4
"DEGS1",4
"DICER1",4
"DNAH9",4
"DNM1",4
"DNMT1",4
"DUSP6",4
"ECEL1",4
"EMD",4
"EPB42",4
"ESRRB",4
"EVC",4
"EXOSC3",4
"FAN1",4
"FARS2",4
"FBP1",4
"FDXR",4
"FLRT3",4
"FOXE1",4
"GABBR2",4
"GFM1",4
"GJB6",4
"GLRB",4
"GPR179",4
"GRIA3",4
"GRIA4",4
"GRXCR1",4
"HAL",4
"HAMP",4
"HDAC8",4
"HECW2",4
"HNRNPA1",4
"HOXA13",4
"HSD17B4",4
"IARS1",4
"IL36RN",4
"INPPL1",4
"KCNC3",4
"KCNQ5",4
"KIF11",4
"KIF22",4
"KMT2E",4
"KRT18",4
"LAMB3",4
"LARGE1",4
"LDB3",4
"LHFPL5",4
"LHX4",4
"LIPA",4
"LOX",4
"LYST",4
"MACF1",4
"MAP2K2",4
"MCFD2",4
"MID1",4
"MKRN3",4
"MME",4
"MORC2",4
"MSX2",4
"MTUS1",4
"MYO15A",4
"NAGA",4
"NDST1",4
"NDUFAF1",4
"NEDD4L",4
"NEXN",4
"NFE2L2",4
"NFU1",4
"NODAL",4
"NR2F1",4
"OPN1SW",4
"PAPSS2",4
"PAX4",4
"PAX8",4
"PCARE",4
"PCDH15",4
"PDE10A",4
"PEPD",4
"PEX26",4
"PHKG2",4
"PIGV",4
"PLS1",4
"PMPCA",4
"PNKP",4
"POU3F3",4
"PPP2R1A",4
"PPP2R5D",4
"PRUNE1",4
"PTPN22",4
"QARS1",4
"RAB7A",4
"RAC3",4
"RARB",4
"RASGRP2",4
"RBP4",4
"RCBTB1",4
"REST",4
"RLIM",4
"RORA",4
"RPL10",4
"RRAS2",4
"RSPO4",4
"SEMA4A",4
"SGCG",4
"SH3TC2",4
"SHOX",4
"SIX5",4
"SLC25A38",4
"SLC25A46",4
"SLC39A14",4
"SLC6A1",4
"SLC7A14",4
"SLC9A3R1",4
"SLFN14",4
"SMARCC2",4
"SNRPB",4
"SNX10",4
"SOX4",4
"SPG7",4
"SRGAP1",4
"STING1",4
"SYNGAP1",4
"TAZ",4
"TBL1XR1",4
"TBX1",4
"TBXAS1",4
"TCAP",4
"TFAP2A",4
"TGFB2",4
"THOC2",4
"TINF2",4
"TMEM138",4
"TNFRSF13B",4
"TRAF3IP1",4
"TRAF7",4
"TRAPPC2",4
"TRIP12",4
"TRPV3",4
"TSEN54",4
"TWIST2",4
"UCHL1",4
"VSX1",4
"WDR37",4
"WNK4",4
"WNT4",4
"WNT7A",4
"WRAP53",4
"XPR1",4
"ZBTB20",4
"ZNF644",4
"AAAS",3
"ACP4",3
"ACTL6B",3
"ADK",3
"AFF4",3
"AGPAT2",3
"AKT3",3
"ALB",3
"ALDOA",3
"AMACR",3
"AMELX",3
"AMN",3
"AMPD2",3
"ANK1",3
"ANO5",3
"AP2S1",3
"APOA1",3
"APOB",3
"ARHGEF9",3
"ARL13B",3
"ASNS",3
"BCKDK",3
"BCL11A",3
"BHLHA9",3
"BMP1",3
"C2",3
"C8orf37",3
"CACNA1G",3
"CALM3",3
"CARD9",3
"CASP10",3
"CCM2",3
"CD36",3
"CDC14A",3
"CDH15",3
"CDK4",3
